nb_drones: 5

# ── HUBS ──
start_hub: hub_21509749 51124 544073 [color=green max_drones=5]
hub: node_1561711680 51559 544249 [zone=normal color=blue max_drones=2]
hub: node_21725730 51539 544181 [zone=normal color=blue max_drones=10]
hub: node_29086600 51531 544177 [zone=normal color=blue max_drones=10]
hub: node_1316176292 51542 544182 [zone=normal color=blue max_drones=10]
hub: node_21725779 51462 544108 [zone=normal color=blue max_drones=2]
hub: node_21725780 51461 544110 [zone=normal color=blue max_drones=2]
hub: node_25284499 51464 544105 [zone=normal color=blue max_drones=2]
hub: node_1390735889 51485 544122 [zone=normal color=blue max_drones=2]
hub: node_1397560973 51448 544102 [zone=normal color=blue max_drones=2]
hub: node_339223284 51458 544116 [zone=normal color=blue max_drones=2]
hub: node_21725787 51451 544099 [zone=normal color=blue max_drones=2]
hub: node_1397560920 51452 544097 [zone=normal color=blue max_drones=2]
hub: node_25284493 51444 544095 [zone=normal color=blue max_drones=2]
hub: node_21725792 51438 544092 [zone=normal color=blue max_drones=2]
hub: node_29809855 51442 544085 [zone=normal color=blue max_drones=2]
hub: node_21725795 51433 544100 [zone=normal color=blue max_drones=2]
hub: node_25553904 51425 544084 [zone=normal color=blue max_drones=2]
hub: node_29133977 51428 544108 [zone=normal color=blue max_drones=2]
hub: node_1561711324 51420 544092 [zone=normal color=blue max_drones=2]
hub: node_25284492 51439 544104 [zone=normal color=blue max_drones=2]
hub: node_21725799 51426 544112 [zone=normal color=blue max_drones=2]
hub: node_29133984 51418 544105 [zone=normal color=blue max_drones=2]
hub: node_25320556 51444 544128 [zone=normal color=blue max_drones=10]
hub: node_21730193 51596 544627 [zone=normal color=blue max_drones=10]
hub: node_770692816 51596 544626 [zone=normal color=blue max_drones=10]
hub: node_770692814 51592 544628 [zone=normal color=blue max_drones=10]
hub: node_770692782 51595 544630 [zone=normal color=blue max_drones=5]
hub: node_21730196 51594 544646 [zone=normal color=blue max_drones=5]
hub: node_1607806306 51594 544641 [zone=normal color=blue max_drones=5]
hub: node_1607806314 51598 544646 [zone=normal color=blue max_drones=2]
hub: node_21730263 51577 544596 [zone=normal color=blue max_drones=2]
hub: node_1191956574 51561 544597 [zone=normal color=blue max_drones=2]
hub: node_770692802 51579 544630 [zone=normal color=blue max_drones=10]
hub: node_24344542 51598 544594 [zone=normal color=blue max_drones=5]
hub: node_29136811 51572 544567 [zone=normal color=blue max_drones=2]
hub: node_21730270 51571 544524 [zone=normal color=blue max_drones=2]
hub: node_1026434161 51591 544520 [zone=normal color=blue max_drones=2]
hub: node_1554358469 51569 544550 [zone=normal color=blue max_drones=2]
hub: node_344099876 51573 544508 [zone=normal color=blue max_drones=2]
hub: node_21730276 51607 544517 [zone=normal color=blue max_drones=5]
hub: node_2619421323 51599 544519 [zone=normal color=blue max_drones=5]
hub: node_36745401 51626 544511 [zone=normal color=blue max_drones=2]
hub: node_21730283 51643 544504 [zone=normal color=blue max_drones=10]
hub: node_540170242 51643 544503 [zone=normal color=blue max_drones=10]
hub: node_1026381912 51640 544505 [zone=normal color=blue max_drones=5]
hub: node_21730297 51618 544461 [zone=normal color=blue max_drones=2]
hub: node_361202097 51628 544498 [zone=normal color=blue max_drones=2]
hub: node_21730332 51581 544467 [zone=normal color=blue max_drones=2]
hub: node_2924526348 51581 544466 [zone=normal color=blue max_drones=2]
hub: node_21730335 51580 544470 [zone=normal color=blue max_drones=2]
hub: node_21730337 51563 544475 [zone=normal color=blue max_drones=2]
hub: node_344099875 51573 544506 [zone=normal color=blue max_drones=2]
hub: node_5210206956 51554 544450 [zone=normal color=blue max_drones=2]
hub: node_344099877 51572 544507 [zone=normal color=blue max_drones=2]
hub: node_249138231 51499 544316 [zone=normal color=blue max_drones=2]
hub: node_24345917 51518 544328 [zone=normal color=blue max_drones=2]
hub: node_21730400 51518 544316 [zone=normal color=blue max_drones=2]
hub: node_32698589 51512 544316 [zone=normal color=blue max_drones=2]
hub: node_21992478 51518 544303 [zone=normal color=blue max_drones=2]
hub: node_25231697 51527 544315 [zone=normal color=blue max_drones=2]
hub: node_21730406 51555 544318 [zone=normal color=blue max_drones=2]
hub: node_975114006 51558 544304 [zone=normal color=blue max_drones=2]
hub: node_21756477 51541 544315 [zone=normal color=blue max_drones=2]
hub: node_81696989 51561 544327 [zone=normal color=blue max_drones=2]
hub: node_21740280 51579 544097 [zone=normal color=blue max_drones=5]
hub: node_1561711296 51578 544092 [zone=normal color=blue max_drones=5]
hub: node_24942259 51586 544126 [zone=normal color=blue max_drones=5]
hub: node_21740300 51595 544214 [zone=normal color=blue max_drones=10]
hub: node_675993006 51603 544215 [zone=normal color=blue max_drones=10]
hub: node_21740303 51605 544218 [zone=normal color=blue max_drones=10]
hub: node_95090592 51606 544227 [zone=normal color=blue max_drones=10]
hub: node_21740308 51608 544240 [zone=normal color=blue max_drones=10]
hub: node_395825951 51608 544241 [zone=normal color=blue max_drones=10]
hub: node_1559033335 51616 544239 [zone=normal color=blue max_drones=10]
hub: node_21740366 51439 544205 [zone=normal color=blue max_drones=2]
hub: node_21740384 51442 544205 [zone=normal color=blue max_drones=10]
hub: node_1558545777 51430 544205 [zone=normal color=blue max_drones=2]
hub: node_704294282 51449 544248 [zone=normal color=blue max_drones=10]
hub: node_3066540533 51417 544130 [zone=normal color=blue max_drones=10]
hub: node_21740388 51415 544209 [zone=normal color=blue max_drones=2]
hub: node_21740389 51412 544211 [zone=normal color=blue max_drones=2]
hub: node_338803972 51417 544208 [zone=normal color=blue max_drones=2]
hub: node_21740392 51404 544215 [zone=normal color=blue max_drones=2]
hub: node_255722444 51416 544213 [zone=normal color=blue max_drones=2]
hub: node_94651338 51404 544219 [zone=normal color=blue max_drones=2]
hub: node_1559022299 51402 544210 [zone=normal color=blue max_drones=2]
hub: node_21740398 51390 544213 [zone=normal color=blue max_drones=2]
hub: node_339031086 51390 544213 [zone=normal color=blue max_drones=2]
hub: node_94651334 51399 544211 [zone=normal color=blue max_drones=2]
hub: node_21740405 51402 544267 [zone=normal color=blue max_drones=2]
hub: node_24945356 51392 544269 [zone=normal color=blue max_drones=2]
hub: node_24911575 51403 544274 [zone=normal color=blue max_drones=2]
hub: node_21740406 51412 544266 [zone=normal color=blue max_drones=2]
hub: node_94655047 51411 544260 [zone=normal color=blue max_drones=2]
hub: node_21740407 51413 544273 [zone=normal color=blue max_drones=2]
hub: node_1552817551 51417 544265 [zone=normal color=blue max_drones=2]
hub: node_21777141 51411 544280 [zone=normal color=blue max_drones=2]
hub: node_21740408 51383 544276 [zone=normal color=blue max_drones=2]
hub: node_25104125 51383 544270 [zone=normal color=blue max_drones=2]
hub: node_25104129 51384 544283 [zone=normal color=blue max_drones=2]
hub: node_24911576 51393 544276 [zone=normal color=blue max_drones=2]
hub: node_21754742 51664 544231 [zone=normal color=blue max_drones=10]
hub: node_387497043 51665 544232 [zone=normal color=blue max_drones=10]
hub: node_1558997464 51667 544229 [zone=normal color=blue max_drones=2]
hub: node_21754744 51667 544239 [zone=normal color=blue max_drones=10]
hub: node_428968458 51664 544233 [zone=normal color=blue max_drones=10]
hub: node_189331900 51660 544237 [zone=normal color=blue max_drones=10]
hub: node_21754778 51612 544375 [zone=normal color=blue max_drones=10]
hub: node_535221608 51613 544377 [zone=normal color=blue max_drones=10]
hub: node_2923278980 51595 544374 [zone=normal color=blue max_drones=10]
hub: node_21754786 51594 544374 [zone=normal color=blue max_drones=10]
hub: node_1425338507 51593 544373 [zone=normal color=blue max_drones=10]
hub: node_21754789 51584 544375 [zone=normal color=blue max_drones=10]
hub: node_1556733995 51561 544395 [zone=normal color=blue max_drones=10]
hub: node_21755131 51368 544158 [zone=normal color=blue max_drones=5]
hub: node_2579866936 51372 544162 [zone=normal color=blue max_drones=5]
hub: node_21755135 51374 544159 [zone=normal color=blue max_drones=2]
hub: node_265434773 51164 544071 [zone=normal color=blue max_drones=5]
hub: node_305264409 51381 544169 [zone=normal color=blue max_drones=2]
hub: node_21755151 51388 544192 [zone=normal color=blue max_drones=2]
hub: node_94648008 51397 544190 [zone=normal color=blue max_drones=2]
hub: node_31223779 51383 544193 [zone=normal color=blue max_drones=2]
hub: node_21756287 51198 544318 [zone=normal color=blue max_drones=2]
hub: node_12822601636 51199 544306 [zone=normal color=blue max_drones=10]
hub: node_94870774 51198 544337 [zone=normal color=blue max_drones=2]
hub: node_94870763 51181 544317 [zone=normal color=blue max_drones=2]
hub: node_278554520 51213 544318 [zone=normal color=blue max_drones=2]
hub: node_21756292 51199 544304 [zone=normal color=blue max_drones=10]
hub: node_12822601639 51201 544303 [zone=normal color=blue max_drones=10]
hub: node_21756359 51410 544318 [zone=normal color=blue max_drones=10]
hub: node_21778563 51416 544326 [zone=normal color=blue max_drones=10]
hub: node_25104104 51404 544323 [zone=normal color=blue max_drones=2]
hub: node_6605948499 51409 544317 [zone=normal color=blue max_drones=10]
hub: node_21756367 51421 544326 [zone=normal color=blue max_drones=10]
hub: node_25293360 51427 544332 [zone=normal color=blue max_drones=2]
hub: node_21756375 51434 544323 [zone=normal color=blue max_drones=10]
hub: node_21756377 51439 544322 [zone=normal color=blue max_drones=10]
hub: node_25104062 51432 544317 [zone=normal color=blue max_drones=2]
hub: node_1551730880 51435 544330 [zone=normal color=blue max_drones=2]
hub: node_945643035 51449 544323 [zone=normal color=blue max_drones=10]
hub: node_21756385 51453 544312 [zone=normal color=blue max_drones=10]
hub: node_26748167 51453 544281 [zone=normal color=blue max_drones=10]
hub: node_25231962 51542 544317 [zone=normal color=blue max_drones=2]
hub: node_21756479 51405 544289 [zone=normal color=blue max_drones=2]
hub: node_569700350 51405 544289 [zone=normal color=blue max_drones=2]
hub: node_21777191 51393 544290 [zone=normal color=blue max_drones=2]
hub: node_21776970 51681 544209 [zone=normal color=blue max_drones=2]
hub: node_427964646 51682 544204 [zone=normal color=blue max_drones=2]
hub: node_26736038 51672 544210 [zone=normal color=blue max_drones=2]
hub: node_21777853 51680 544214 [zone=normal color=blue max_drones=2]
hub: node_21776990 51685 544208 [zone=normal color=blue max_drones=2]
hub: node_21776981 51393 544283 [zone=normal color=blue max_drones=2]
hub: node_1550333286 51404 544281 [zone=normal color=blue max_drones=2]
hub: node_25232005 51712 544206 [zone=normal color=blue max_drones=2]
hub: node_1558997436 51702 544197 [zone=normal color=blue max_drones=2]
hub: node_21777036 51753 544345 [zone=normal color=blue max_drones=2]
hub: node_1668903799 51753 544346 [zone=normal color=blue max_drones=2]
hub: node_21778376 51755 544342 [zone=normal color=blue max_drones=2]
hub: node_1159360853 51748 544345 [zone=normal color=blue max_drones=2]
hub: node_21777045 51783 544229 [zone=normal color=blue max_drones=2]
hub: node_423024082 51784 544228 [zone=normal color=blue max_drones=2]
hub: node_30050068 51785 544238 [zone=normal color=blue max_drones=2]
hub: node_21778317 51773 544226 [zone=normal color=blue max_drones=2]
hub: node_989198333 51461 544446 [zone=normal color=blue max_drones=10]
hub: node_1535175072 51461 544442 [zone=normal color=blue max_drones=10]
hub: node_21777181 51716 544207 [zone=normal color=blue max_drones=2]
hub: node_25232216 51718 544202 [zone=normal color=blue max_drones=2]
hub: node_26779314 51731 544213 [zone=normal color=blue max_drones=2]
hub: node_25104170 51384 544290 [zone=normal color=blue max_drones=2]
hub: node_21777257 51390 544249 [zone=normal color=blue max_drones=2]
hub: node_24911578 51399 544247 [zone=normal color=blue max_drones=2]
hub: node_94652984 51383 544215 [zone=normal color=blue max_drones=2]
hub: node_21777294 51743 544219 [zone=normal color=blue max_drones=2]
hub: node_90473324 51749 544222 [zone=normal color=blue max_drones=2]
hub: node_21778193 51737 544216 [zone=normal color=blue max_drones=2]
hub: node_30904035 51745 544212 [zone=normal color=blue max_drones=2]
hub: node_21777389 51541 544309 [zone=normal color=blue max_drones=2]
hub: node_21992480 51538 544303 [zone=normal color=blue max_drones=2]
hub: node_21777630 51779 544298 [zone=normal color=blue max_drones=2]
hub: node_1129513455 51780 544298 [zone=normal color=blue max_drones=2]
hub: node_30050052 51754 544304 [zone=normal color=blue max_drones=2]
hub: node_21777659 51457 544417 [zone=normal color=blue max_drones=10]
hub: node_29051213 51457 544407 [zone=normal color=blue max_drones=10]
hub: node_1180986854 51680 544214 [zone=normal color=blue max_drones=2]
hub: node_732715209 51680 544217 [zone=normal color=blue max_drones=2]
hub: node_21777880 51796 544278 [zone=normal color=blue max_drones=2]
hub: node_1031041134 51792 544265 [zone=normal color=blue max_drones=2]
hub: node_21778291 51799 544287 [zone=normal color=blue max_drones=2]
hub: node_1132413079 51776 544288 [zone=normal color=blue max_drones=2]
hub: node_21778036 51409 544246 [zone=normal color=blue max_drones=2]
hub: node_1552848580 51410 544255 [zone=normal color=blue max_drones=2]
hub: node_26784658 51407 544234 [zone=normal color=blue max_drones=2]
hub: node_21990897 51419 544220 [zone=normal color=blue max_drones=2]
hub: node_90465723 51738 544211 [zone=normal color=blue max_drones=2]
hub: node_1031084312 51809 544286 [zone=normal color=blue max_drones=2]
hub: node_1129513426 51799 544294 [zone=normal color=blue max_drones=2]
hub: node_421765380 51772 544232 [zone=normal color=blue max_drones=2]
hub: node_95034872 51771 544226 [zone=normal color=blue max_drones=2]
hub: node_525779986 51769 544350 [zone=normal color=blue max_drones=2]
hub: node_437321030 51756 544340 [zone=normal color=blue max_drones=2]
hub: node_29051219 51419 544335 [zone=normal color=blue max_drones=5]
hub: node_25293369 51411 544327 [zone=normal color=blue max_drones=5]
hub: node_21778666 51434 544439 [zone=normal color=blue max_drones=10]
hub: node_2172103027 51435 544439 [zone=normal color=blue max_drones=10]
hub: node_1728178513 51434 544425 [zone=normal color=blue max_drones=5]
hub: node_21778691 51449 544438 [zone=normal color=blue max_drones=10]
hub: node_989198378 51454 544433 [zone=normal color=blue max_drones=10]
hub: node_1535175068 51454 544436 [zone=normal color=blue max_drones=10]
hub: node_21778712 51461 544436 [zone=normal color=blue max_drones=10]
hub: node_21778718 51464 544437 [zone=normal color=blue max_drones=10]
hub: node_21859999 51539 544416 [zone=normal color=blue max_drones=2]
hub: node_432498634 51536 544409 [zone=normal color=blue max_drones=2]
hub: node_4975003310 51541 544420 [zone=normal color=blue max_drones=2]
hub: node_619535356 51549 544412 [zone=normal color=blue max_drones=2]
hub: node_21860622 51405 544222 [zone=normal color=blue max_drones=2]
hub: node_339020753 51405 544222 [zone=normal color=blue max_drones=2]
hub: node_1558545828 51415 544221 [zone=normal color=blue max_drones=2]
hub: node_21860635 51405 544231 [zone=normal color=blue max_drones=2]
hub: node_892501409 51397 544227 [zone=normal color=blue max_drones=2]
hub: node_21991794 51382 544213 [zone=normal color=blue max_drones=2]
hub: node_25554091 51367 544208 [zone=normal color=blue max_drones=2]
hub: node_1559022297 51381 544208 [zone=normal color=blue max_drones=2]
hub: node_425943545 51518 544303 [zone=normal color=blue max_drones=2]
hub: node_1558546013 51527 544303 [zone=normal color=blue max_drones=2]
hub: node_676619513 51550 544296 [zone=normal color=blue max_drones=2]
hub: node_420834820 51528 544303 [zone=normal color=blue max_drones=2]
hub: node_25231693 51529 544290 [zone=normal color=blue max_drones=2]
hub: node_21992484 51552 544295 [zone=normal color=blue max_drones=2]
hub: node_773264714 51519 544248 [zone=normal color=blue max_drones=2]
hub: node_23699669 51855 544493 [zone=normal color=blue max_drones=2]
hub: node_939594670 51846 544518 [zone=normal color=blue max_drones=2]
hub: node_30901377 51725 544513 [zone=normal color=blue max_drones=2]
hub: node_1556915843 51834 544457 [zone=normal color=blue max_drones=10]
hub: node_23699737 51829 544446 [zone=normal color=blue max_drones=10]
hub: node_148536670 51836 544443 [zone=normal color=blue max_drones=2]
hub: node_12657650541 51758 544402 [zone=normal color=blue max_drones=10]
hub: node_23715503 51704 544398 [zone=normal color=blue max_drones=10]
hub: node_1059989224 51703 544399 [zone=normal color=blue max_drones=10]
hub: node_30901777 51712 544387 [zone=normal color=blue max_drones=2]
hub: node_1059952633 51713 544398 [zone=normal color=blue max_drones=10]
hub: node_23715513 51690 544390 [zone=normal color=blue max_drones=10]
hub: node_96031808 51675 544392 [zone=normal color=blue max_drones=2]
hub: node_535188984 51684 544381 [zone=normal color=blue max_drones=10]
hub: node_23741788 51856 544278 [zone=normal color=blue max_drones=2]
hub: node_23741810 51866 544268 [zone=normal color=blue max_drones=2]
hub: node_1027985786 51830 544295 [zone=normal color=blue max_drones=2]
hub: node_26755075 51864 544281 [zone=normal color=blue max_drones=2]
hub: node_94071533 51873 544260 [zone=normal color=blue max_drones=2]
hub: node_30050089 51869 544220 [zone=normal color=blue max_drones=2]
hub: node_23742334 51746 544306 [zone=normal color=blue max_drones=2]
hub: node_29089769 51744 544309 [zone=normal color=blue max_drones=2]
hub: node_1348261476 51744 544306 [zone=normal color=blue max_drones=2]
hub: node_23742590 51689 544304 [zone=normal color=blue max_drones=2]
hub: node_535196468 51676 544303 [zone=normal color=blue max_drones=2]
hub: node_30904064 51706 544304 [zone=normal color=blue max_drones=2]
hub: node_23742909 51689 544317 [zone=normal color=blue max_drones=2]
hub: node_471884876 51689 544318 [zone=normal color=blue max_drones=2]
hub: node_30050290 51705 544315 [zone=normal color=blue max_drones=2]
hub: node_23743141 51617 544294 [zone=normal color=blue max_drones=2]
hub: node_23743145 51612 544295 [zone=normal color=blue max_drones=10]
hub: node_1561854855 51624 544294 [zone=normal color=blue max_drones=2]
hub: node_1232804359 51612 544294 [zone=normal color=blue max_drones=2]
hub: node_1232733511 51618 544310 [zone=normal color=blue max_drones=10]
hub: node_23743241 51602 544289 [zone=normal color=blue max_drones=10]
hub: node_23743257 51598 544292 [zone=normal color=blue max_drones=2]
hub: node_25185589 51600 544287 [zone=normal color=blue max_drones=10]
hub: node_1561854854 51589 544293 [zone=normal color=blue max_drones=2]
hub: node_23743337 51568 544298 [zone=normal color=blue max_drones=2]
hub: node_1558546008 51565 544301 [zone=normal color=blue max_drones=2]
hub: node_26769594 51569 544300 [zone=normal color=blue max_drones=2]
hub: node_583327611 51573 544292 [zone=normal color=blue max_drones=2]
hub: node_23824948 51553 544334 [zone=normal color=blue max_drones=2]
hub: node_2313011120 51554 544334 [zone=normal color=blue max_drones=2]
hub: node_1558546045 51546 544333 [zone=normal color=blue max_drones=2]
hub: node_23824977 51542 544333 [zone=normal color=blue max_drones=2]
hub: node_444564873 51542 544329 [zone=normal color=blue max_drones=2]
hub: node_11976524084 51600 544568 [zone=normal color=blue max_drones=5]
hub: node_770692748 51596 544622 [zone=normal color=blue max_drones=5]
hub: node_24344589 51569 544274 [zone=normal color=blue max_drones=2]
hub: node_24344810 51572 544282 [zone=normal color=blue max_drones=2]
hub: node_24345603 51581 544274 [zone=normal color=blue max_drones=2]
hub: node_30848580 51552 544273 [zone=normal color=blue max_drones=2]
hub: node_350052783 51565 544266 [zone=normal color=blue max_drones=2]
hub: node_24345333 51581 544283 [zone=normal color=blue max_drones=2]
hub: node_246676251 51573 544291 [zone=normal color=blue max_drones=2]
hub: node_24344891 51635 544596 [zone=normal color=blue max_drones=2]
hub: node_11976524087 51605 544563 [zone=normal color=blue max_drones=2]
hub: node_24344904 51648 544503 [zone=normal color=blue max_drones=5]
hub: node_529834553 51645 544507 [zone=normal color=blue max_drones=10]
hub: node_432825420 51644 544504 [zone=normal color=blue max_drones=10]
hub: node_24344921 51580 544292 [zone=normal color=blue max_drones=2]
hub: node_246676245 51574 544291 [zone=normal color=blue max_drones=2]
hub: node_24345193 51656 544481 [zone=normal color=blue max_drones=2]
hub: node_321573458 51650 544480 [zone=normal color=blue max_drones=2]
hub: node_537863079 51659 544475 [zone=normal color=blue max_drones=2]
hub: node_25185835 51579 544265 [zone=normal color=blue max_drones=2]
hub: node_94584768 51400 544256 [zone=normal color=blue max_drones=2]
hub: node_24942232 51599 544095 [zone=normal color=blue max_drones=2]
hub: node_24950130 51597 544093 [zone=normal color=blue max_drones=2]
hub: node_1262361193 51599 544101 [zone=normal color=blue max_drones=2]
hub: node_24942235 51583 544147 [zone=normal color=blue max_drones=5]
hub: node_1559033311 51568 544144 [zone=normal color=blue max_drones=2]
hub: node_81803365 51585 544138 [zone=normal color=blue max_drones=5]
hub: node_29079215 51583 544161 [zone=normal color=blue max_drones=5]
hub: node_29079296 51588 544147 [zone=normal color=blue max_drones=2]
hub: node_24942242 51559 544142 [zone=normal color=blue max_drones=2]
hub: node_254504481 51579 544130 [zone=normal color=blue max_drones=2]
hub: node_29709267 51545 544138 [zone=normal color=blue max_drones=2]
hub: node_343206186 51594 544126 [zone=normal color=blue max_drones=2]
hub: node_24942316 51538 544165 [zone=normal color=blue max_drones=2]
hub: node_277794526 51534 544153 [zone=normal color=blue max_drones=2]
hub: node_1274345585 51543 544164 [zone=normal color=blue max_drones=2]
hub: node_665145901 51535 544166 [zone=normal color=blue max_drones=2]
hub: node_24942317 51531 544141 [zone=normal color=blue max_drones=2]
hub: node_29709274 51533 544147 [zone=normal color=blue max_drones=2]
hub: node_1293730921 51521 544144 [zone=normal color=blue max_drones=2]
hub: node_33240882 51543 544138 [zone=normal color=blue max_drones=2]
hub: node_24942569 51419 544253 [zone=normal color=blue max_drones=2]
hub: node_25554023 51389 544268 [zone=normal color=blue max_drones=2]
hub: node_26784620 51392 544258 [zone=normal color=blue max_drones=2]
hub: node_24950131 51598 544092 [zone=normal color=blue max_drones=2]
hub: node_1561711327 51587 544093 [zone=normal color=blue max_drones=2]
hub: node_24950142 51600 544093 [zone=normal color=blue max_drones=2]
hub: node_1263156559 51598 544080 [zone=normal color=blue max_drones=2]
hub: node_24950134 51605 544080 [zone=normal color=blue max_drones=2]
hub: node_1263156561 51592 544080 [zone=normal color=blue max_drones=2]
hub: node_1263156465 51611 544079 [zone=normal color=blue max_drones=2]
hub: node_358054325 51614 544092 [zone=normal color=blue max_drones=2]
hub: node_24950645 51582 544208 [zone=normal color=blue max_drones=10]
hub: node_1240298394 51587 544212 [zone=normal color=blue max_drones=10]
hub: node_773963976 51565 544196 [zone=normal color=blue max_drones=10]
hub: node_343780224 51544 544196 [zone=normal color=blue max_drones=2]
hub: node_24952646 51539 544204 [zone=normal color=blue max_drones=2]
hub: node_24950707 51529 544207 [zone=normal color=blue max_drones=2]
hub: node_1323744213 51525 544202 [zone=normal color=blue max_drones=2]
hub: node_32857329 51519 544214 [zone=normal color=blue max_drones=2]
hub: node_24952651 51530 544207 [zone=normal color=blue max_drones=2]
hub: node_24950718 51490 544164 [zone=normal color=blue max_drones=2]
hub: node_785861637 51487 544154 [zone=normal color=blue max_drones=10]
hub: node_1348357944 51494 544168 [zone=normal color=blue max_drones=2]
hub: node_1347099191 51485 544169 [zone=normal color=blue max_drones=2]
hub: node_24952649 51535 544205 [zone=normal color=blue max_drones=2]
hub: node_323820291 51538 544198 [zone=normal color=blue max_drones=2]
hub: node_24952648 51536 544192 [zone=normal color=blue max_drones=2]
hub: node_1561711639 51542 544190 [zone=normal color=blue max_drones=2]
hub: node_24952650 51531 544193 [zone=normal color=blue max_drones=2]
hub: node_24952652 51526 544195 [zone=normal color=blue max_drones=2]
hub: node_24952655 51520 544197 [zone=normal color=blue max_drones=2]
hub: node_24952656 51508 544204 [zone=normal color=blue max_drones=2]
hub: node_1322194346 51516 544191 [zone=normal color=blue max_drones=2]
hub: node_24952659 51504 544199 [zone=normal color=blue max_drones=2]
hub: node_24952662 51501 544195 [zone=normal color=blue max_drones=2]
hub: node_24952661 51512 544186 [zone=normal color=blue max_drones=2]
hub: node_30898857 51510 544183 [zone=normal color=blue max_drones=2]
hub: node_268131066 51498 544192 [zone=normal color=blue max_drones=2]
hub: node_24953603 51717 544329 [zone=normal color=blue max_drones=2]
hub: node_94066562 51705 544331 [zone=normal color=blue max_drones=2]
hub: node_29089782 51732 544328 [zone=normal color=blue max_drones=2]
hub: node_96070326 51718 544342 [zone=normal color=blue max_drones=2]
